<<<<<<< HEAD
"","X2","X3","X4","y","M1","M2","M3","M4","M5","N1","N2","N3","N4","N5"
"1",1,"AGUIX","aorta",7.816,469.5,93.2,637,278.25,536.4,7.816,0.996,9.492,6.94,8.448
"2",1,"GBCA","aorta",7.31235130943245,434.666666666667,48,615.333333333333,365.333333333333,478.333333333333,7.64277548702567,-0.283908325914982,11.346450165141,6.22143907918803,8.53794409003879
"3",2,"AGUIX","aorta",0.846666666666667,111.5,-0.833333333333333,188.5,100.166666666667,123,0.846666666666667,0.0833333333333333,1.40333333333333,0.683333333333333,0.986666666666667
"4",2,"GBCA","aorta",0.506467340669693,87.1666666666667,8.66666666666667,162.333333333333,77.5,96.1666666666667,0.519010077550989,-1.09024340343826,2.05993007739419,0.320842982227472,0.703510476645297
"5",3,"AGUIX","aorta",0.713333333333333,104.5,0.666666666666667,179.166666666667,93.6666666666667,115.291666666667,0.713333333333333,0.0533333333333333,1.20666666666667,0.583333333333333,0.83
"6",3,"GBCA","aorta",0.449706487703165,84.1666666666667,2.5,151,75,93.2916666666667,0.457509944519553,-1.21666034355843,1.82759624149766,0.269592871367942,0.644572849156837
"7",4,"AGUIX","aorta",0.443333333333333,88.1666666666667,5,165.666666666667,78.3333333333333,97.3333333333333,0.443333333333333,0.0333333333333333,0.826666666666667,0.346666666666667,0.529166666666667
"8",4,"GBCA","aorta",0.190304061017674,71.1666666666667,2.83333333333333,131.333333333333,62.8333333333333,79.5,0.191009368049996,-1.20982699544383,1.42442870273602,0.020175665184896,0.361843070915096
"9",5,"AGUIX","aorta",0.216666666666667,73.3333333333333,-3.33333333333333,165.5,63.5,82.8333333333333,0.216666666666667,0,0.57,0.14,0.296666666666667
"10",5,"GBCA","aorta",0.0237897707822638,63.4,-11.4,121.2,54.8,71.8,0.0317923569797228,-1.50161095993742,1.21669492005206,-0.144508024377061,0.203992729467744
"11",1,"AGUIX","vena cava",0.104,59.2,-58.8,369.8,46.6,73,0.104,0,7.016,0.012,0.219
