X1,X11,M1,M2,M3,M4,M5,X2,X3,X4,X5,X6,y,y1,N1,N2,N3,N4,N5
321.6984638,149.9990684,389,-74,509,293,420,1,GBCA,aorta,26201,3.1,NA,,NA,NA,NA,NA,NA
94.80673935,17.24125765,96,23,166,85,106,2,GBCA,aorta,26201,3.1,NA,,NA,NA,NA,NA,NA
89.05971259,15.49974111,89,21,200,79,99,3,GBCA,aorta,26201,3.1,NA,,NA,NA,NA,NA,NA
78.12760159,14.78599642,79,11,188,70,88,4,GBCA,aorta,26201,3.1,NA,,NA,NA,NA,NA,NA
67.41997027,13.78465226,68,-15,137,59,77,5,GBCA,aorta,26201,3.1,NA,,NA,NA,NA,NA,NA
455.4247356,112.5750027,474,72,657,372,549,1,GBCA,aorta,26608,2.9,NA,,NA,NA,NA,NA,NA
75.21264368,15.88870515,75,7,129,65,85,2,GBCA,aorta,26608,2.9,NA,,NA,NA,NA,NA,NA
73.72222222,15.31812853,74,24,126,64,84,3,GBCA,aorta,26608,2.9,NA,,NA,NA,NA,NA,NA
63.37164751,14.35409485,62,13,121,54,71,4,GBCA,aorta,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,5,GBCA,aorta,26608,2.9,NA,,NA,NA,NA,NA,NA
507.5710917,76.06133245,505,64,737,471,548,1,GBCA,aorta,26599,3.22,NA,,NA,NA,NA,NA,NA
96.33344349,15.05062203,97,-25,226,88,106,2,GBCA,aorta,26599,3.22,NA,,NA,NA,NA,NA,NA
91.61542089,13.98366811,92,36,150,82,101,3,GBCA,aorta,26599,3.22,NA,,NA,NA,NA,NA,NA
77.11318085,12.11551017,77,31,118,69,85,4,GBCA,aorta,26599,3.22,NA,,NA,NA,NA,NA,NA
68.54845555,12.4126022,69,22,115,61,77,5,GBCA,aorta,26599,3.22,NA,,NA,NA,NA,NA,NA
438.7496336,131.3706113,431,-21,752,371,532,1,GBCA,aorta,26285,2.7,NA,,NA,NA,NA,NA,NA
86.21910112,13.60671752,88,11,137,79,95,2,GBCA,aorta,26285,2.7,NA,,NA,NA,NA,NA,NA
86.10429897,13.35076431,87,20,143,79,95,3,GBCA,aorta,26285,2.7,NA,,NA,NA,NA,NA,NA
71.95017098,12.12997348,73,-11,114,65,80,4,GBCA,aorta,26285,2.7,NA,,NA,NA,NA,NA,NA
61.31778212,11.44240228,62,13,93,54,69,5,GBCA,aorta,26285,2.7,NA,,NA,NA,NA,NA,NA
486.9340082,38.61700546,492,214,588,462,515,1,GBCA,aorta,26684,3.52,NA,,NA,NA,NA,NA,NA
99.16116967,12.08392681,99,60,146,91,107,2,GBCA,aorta,26684,3.52,NA,,NA,NA,NA,NA,NA
94.20622237,11.8734032,94,50,137,86,102,3,GBCA,aorta,26684,3.52,NA,,NA,NA,NA,NA,NA
78.34818089,10.77230987,78,34,124,71,85,4,GBCA,aorta,26684,3.52,NA,,NA,NA,NA,NA,NA
67.90258416,11.20087355,68,20,108,61,75,5,GBCA,aorta,26684,3.52,NA,,NA,NA,NA,NA,NA
286.053407,44.90534861,287,18,410,260,318,1,GBCA,aorta,26375,3.23,NA,,NA,NA,NA,NA,NA
69.49723757,14.59519749,70,5,128,60,79,2,GBCA,aorta,26375,3.23,NA,,NA,NA,NA,NA,NA
68.02025783,14.05939631,68,9,118,59,78,3,GBCA,aorta,26375,3.23,NA,,NA,NA,NA,NA,NA
58.83241252,13.07910129,59,11,107,50,68,4,GBCA,aorta,26375,3.23,NA,,NA,NA,NA,NA,NA
50.26519337,14.58813389,50,-8,97,40,61,5,GBCA,aorta,26375,3.23,NA,,NA,NA,NA,NA,NA
60.23690205,68.26431293,55,-102,506,40,66,1,GBCA,vena cava,26201,3.1,NA,,NA,NA,NA,NA,NA
103.8205712,20.40302816,104,33,172,91,117,2,GBCA,vena cava,26201,3.1,NA,,NA,NA,NA,NA,NA
87.60049063,15.2017051,88,24,151,77,98,3,GBCA,vena cava,26201,3.1,NA,,NA,NA,NA,NA,NA
78.23339758,15.21842093,78,12,140,68,88,4,GBCA,vena cava,26201,3.1,NA,,NA,NA,NA,NA,NA
59.31487647,18.75434494,60,-55,114,48,72,5,GBCA,vena cava,26201,3.1,NA,,NA,NA,NA,NA,NA
52.28052293,42.0716072,46,-94,571,35,59,1,GBCA,vena cava,26608,2.9,NA,,NA,NA,NA,NA,NA
73.07489475,14.00812247,73,9,124,63,82,2,GBCA,vena cava,26608,2.9,NA,,NA,NA,NA,NA,NA
70.2858409,13.24091371,70,9,115,61,79,3,GBCA,vena cava,26608,2.9,NA,,NA,NA,NA,NA,NA
63.55794372,13.96728711,63,6,114,54,73,4,GBCA,vena cava,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,5,GBCA,vena cava,26608,2.9,NA,,NA,NA,NA,NA,NA
56.61340206,20.40845857,57,1,124,42,73,1,GBCA,vena cava,26599,3.22,NA,,NA,NA,NA,NA,NA
84,19,83,21,150,NA,NA,2,GBCA,vena cava,26599,3.22,NA,,NA,NA,NA,NA,NA
82.01546392,19.3270754,80,35,161,69,92.25,3,GBCA,vena cava,26599,3.22,NA,,NA,NA,NA,NA,NA
