"","timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_aguix","shapiro_w_p_value_aguix","shapiro_w_statistic_dotarem","shapiro_w_p_value_dotarem","t_degrees_freedom"
"t",1,"aorta",-0.465154611235081,0.666015574477218,-0.425932060157859,0.907755175503801,0.454218596076252,0.924306927347622,0.558095804169867,4
"t1",2,"aorta",2.53456742830164,0.0522383568976692,0.34259688406525,0.980906796079169,0.955975377927175,0.897455357542808,0.359107391926,5
"t2",3,"aorta",1.64936463772056,0.159986742102166,0.220490348017301,0.892672852658648,0.33243000223869,0.931911835112998,0.594945001263301,5
"t3",4,"aorta",2.37436517411183,0.0636075272743488,0.251728935876918,0.913213040248694,0.457869411167669,0.911659636139776,0.447404566483523,5
"t4",5,"aorta",3.0766294982006,0.0370529368253397,0.233437595775578,0.856890441994689,0.217297535782393,0.930839046778531,0.602103407424342,4
"t5",1,"vena cava",2.27267690640252,0.0854745807939107,0.283127236242947,0.926256169434248,0.571072280690117,0.952349862172817,0.75396138080099,4
"t6",2,"vena cava",2.82543722160579,0.0368720023389189,0.293812397938265,0.908469236051807,0.42640253247346,0.94489654061304,0.698844766805422,5
"t7",3,"vena cava",2.14672400619876,0.0845947341388753,0.248652845819279,0.910413660112287,0.439123347824978,0.930078102615528,0.580705160154654,5
"t8",4,"vena cava",2.24862894654479,0.0744047496942757,0.213961718539031,0.853176010250758,0.16695473728886,0.820711724124163,0.0895122344046664,5
"t9",5,"vena cava",2.55140820445503,0.0632109520267042,0.151295716807115,0.832052460119993,0.144123640148557,0.614106224835293,0.000959991445959768,4
"t10",1,"left cortex",1.643527317053,0.175618840594638,0.724958226208863,0.877811287017952,0.299510226126602,0.962356868752881,0.824292948360353,4
"t11",2,"left cortex",0.931074474770262,0.394551427652083,0.402563915504403,0.826787062814072,0.100936785787474,0.820783301159267,0.089639795757943,5
"t12",3,"left cortex",1.89770511920229,0.116205035177022,0.18863203844885,0.884932231230696,0.292480127986497,0.970370123924678,0.894911464347204,5
"t13",4,"left cortex",3.8508715012343,0.0119905192397976,0.628550217591613,0.986729662443852,0.97971244709744,0.985722447736666,0.976214983603119,5
"t14",5,"left cortex",3.33488608344962,0.0289734166178886,0.780420712479023,0.945640616351997,0.706039732807203,0.930010641462594,0.596443085105867,4
"t15",1,"left medulla",1.81336710066464,0.143982595252182,0.258385341353279,0.785617159540981,0.0615460456258207,0.868575058237336,0.260701674733159,4
"t16",2,"left medulla",0.526438842457994,0.621091681010394,0.299701264611856,0.902743699017908,0.390401714993521,0.883736627854429,0.286659206279357,5
"t17",3,"left medulla",2.51886791302188,0.053248188736819,0.222966600515524,0.825523576733567,0.0984589293181641,0.977983352365871,0.941105518776401,5
"t18",4,"left medulla",9.35767105444997,0.000234823831491628,1.33100827544241,0.988538133208817,0.98530939711245,0.936574823879655,0.631740737912346,5
"t19",5,"left medulla",4.64361653927615,0.00970769048675828,1.45810873849463,0.930210659783177,0.597807797281167,0.934157488899293,0.624982371100887,4
"t20",1,"left pelvis",1.29706861817834,0.264364090650724,0.0810075240816242,0.924769188916378,0.561160486605023,0.958518998852802,0.797634381574986,4
"t21",2,"left pelvis",0.491593370098606,0.643825447413159,0.267240549790908,0.817953018360338,0.0847181896588542,0.850218600359006,0.158047563271967,5
"t22",3,"left pelvis",-0.823724775413846,0.447591011959568,-0.409513295355138,0.932690699848629,0.601035359194855,0.924910249042061,0.541407953113736,5
"t23",4,"left pelvis",3.14114468143764,0.0256332739894758,1.69612629935609,0.870621919987127,0.228695285150635,0.950449553660656,0.743921449804834,5
"t24",5,"left pelvis",3.14189497671222,0.0347842081889239,3.68893568721424,0.93075781781892,0.601547441217907,0.890987379643697,0.362092524381737,4
"t25",1,"right cortex",1.0925532681072,0.335979584094043,0.350989919274443,0.974499836219486,0.903269202892336,0.919885926082752,0.529204052863261,4
"t26",2,"right cortex",-0.299955747368567,0.776280888859216,-0.0724800642975358,0.670437328384699,0.002971932771994,0.930346735769056,0.582782213834519,5
"t27",3,"right cortex",1.19905531509496,0.284226896821972,0.135891787290858,0.953891654683083,0.77164396737707,0.890889866061803,0.322876609659955,5
"t28",4,"right cortex",3.30681747526856,0.0213149234813242,0.549701634218295,0.835252694565186,0.11901910359919,0.915934024917076,0.476569132969318,5
"t29",5,"right cortex",2.98221981717929,0.0406495145969498,0.616627425953759,0.905809697389159,0.442823389735027,0.981498691476705,0.942475834851891,4
"t30",1,"right medulla",0.947381292289888,0.397089769566249,0.116525666736228,0.755197515285586,0.0332274876936925,0.949228854100595,0.731677967224135,4
"t31",2,"right medulla",0.0725202436873876,0.94499950009817,0.0146831499789654,0.932296827398866,0.59795243637207,0.964093726806661,0.850666788271951,5
"t32",3,"right medulla",0.405658286943917,0.701769779612649,0.0671048974243367,0.847092934816374,0.149083116416645,0.963221809206668,0.844194136471779,5
"t33",4,"right medulla",3.91055483825721,0.0112886843886987,1.01869635755388,0.836245813518081,0.121317829084195,0.850794246853712,0.159748417051021,5
"t34",5,"right medulla",2.02406431204915,0.112973524089035,0.902613763718986,0.925876192424001,0.568531804304933,0.930976922661127,0.603047554530884,4
"t35",1,"right pelvis",3.82576155175618,0.0186857963250483,0.322318420689426,0.721723761742397,0.0159423620678618,0.985984854523495,0.963841448002395,4
"t36",2,"right pelvis",-1.49860983329218,0.194250178836087,-0.25811058003334,0.864791608567714,0.206221108275438,0.845990658808165,0.14602881224691,5
"t37",3,"right pelvis",0.042960696927751,0.967395698245075,0.0226488887097549,0.912846432642007,0.455385731259057,0.852546305375574,0.165022781694221,5
"t38",4,"right pelvis",1.98907912159462,0.103371564548942,1.34353589179073,0.92648963023304,0.553278648800802,0.88222940055549,0.279452118058867,5
"t39",5,"right pelvis",2.37675812742096,0.0762577617025873,3.07521856070662,0.960945656737638,0.814552788074585,0.924199853265181,0.557387072836088,4
