<<<<<<< HEAD
"timepoint","region","t_statistic","t_p_value","mean_diff","shapiro_w_statistic_aguix","shapiro_w_p_value_aguix","shapiro_w_statistic_dotarem","shapiro_w_p_value_dotarem","t_degrees_freedom"
1,"aorta",-0.0166600830923993,0.987505660150794,-0.663366479999979,0.902970722116015,0.426522000131221,0.924306927347622,0.558095804169865,4
2,"aorta",4.35836756623213,0.00730146319196761,22.1647831283333,0.955425215439763,0.783881075156374,0.897455357542807,0.359107391925997,5
3,"aorta",2.78435317790342,0.038702319320577,16.0184689,0.905880531197166,0.409854232075975,0.931911835112998,0.594945001263303,5
4,"aorta",3.33236646102996,0.0207251230838667,14.050874375,0.961548808001143,0.831594472841046,0.911659636139776,0.447404566483522,5
5,"aorta",2.52707126666904,0.064866487437187,9.60295714800001,0.951756841366286,0.749732333224907,0.930839046778531,0.602103407424341,4
1,"vena cava",1.24761716961942,0.280224356017585,17.7162,0.849056188127235,0.191553645616174,0.952349862172817,0.753961380800989,4
2,"vena cava",3.95980053729404,0.0107449841903469,24.8448333333333,0.971698303964708,0.903642561810976,0.94489654061304,0.698844766805424,5
3,"vena cava",3.11609992779242,0.0263682237168336,20.9728333333333,0.971868847809891,0.904745177584443,0.930078102615528,0.580705160154656,5
4,"vena cava",3.02755057068066,0.0291630709658633,19.3651666666667,0.839150198944359,0.128266609317384,0.820711724124163,0.0895122344046667,5
5,"vena cava",3.40065773027582,0.0272608026846461,15.6496,0.918789051184906,0.522157991211551,0.614106224835293,0.000959991445959772,4
1,"left cortex",2.23408920453622,0.0892050172752124,50.6174,0.880338194744077,0.310846342614431,0.962356868752881,0.824292948360351,4
2,"left cortex",1.38733501384438,0.223996157187777,30.479,0.780168846137562,0.0386857810964802,0.820783301159268,0.089639795757945,5
3,"left cortex",2.5616699721708,0.0505439471103541,14.0151666666667,0.866934999811563,0.214258618909739,0.970370123924677,0.894911464347202,5
4,"left cortex",4.95845941996349,0.00425380688911978,41.4683333333333,0.97583599805561,0.929087145008939,0.985722447736665,0.976214983603117,5
5,"left cortex",3.72428000832771,0.0203982649079539,44.5944,0.919794397147169,0.528614183785574,0.930010641462593,0.596443085105863,4
1,"left medulla",3.27084123140768,0.0307647790365731,16.7664,0.984436129585405,0.956859755659964,0.868575058237337,0.260701674733162,4
2,"left medulla",1.37065065451256,0.228812698727747,27.4706666666667,0.971573068395306,0.902830138925929,0.883736627854429,0.28665920627936,5
3,"left medulla",4.69106616431447,0.00537995574695193,18.9243333333334,0.852970473729006,0.166322016265768,0.977983352365871,0.941105518776403,5
